2022-03-12 16:21:52.926 [main] INFO  matsk.mszdqabbs.MszdqabbsApplication - Starting MszdqabbsApplication on DESKTOP-VLENI4Q with PID 12696 (C:\Users\sizhe\Desktop\mszdqabbs-master\target\classes started by sizhe in C:\Users\sizhe\Desktop\mszdqabbs-master)
2022-03-12 16:21:52.938 [main] INFO  matsk.mszdqabbs.MszdqabbsApplication - No active profile set, falling back to default profiles: default
2022-03-12 16:21:54.081 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-03-12 16:21:54.085 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-03-12 16:21:54.133 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 27ms. Found 0 Redis repository interfaces.
2022-03-12 16:21:55.014 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 80 (http)
2022-03-12 16:21:55.027 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-03-12 16:21:55.027 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2022-03-12 16:21:55.174 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-03-12 16:21:55.175 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2142 ms
2022-03-12 16:21:56.548 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-03-12 16:21:56.640 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2022-03-12 16:21:56.907 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2022-03-12 16:21:56.999 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 80 (http) with context path ''
2022-03-12 16:21:57.004 [main] INFO  matsk.mszdqabbs.MszdqabbsApplication - Started MszdqabbsApplication in 4.796 seconds (JVM running for 6.066)
2022-03-12 16:22:12.358 [http-nio-80-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-03-12 16:22:12.359 [http-nio-80-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-03-12 16:22:12.373 [http-nio-80-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 14 ms
2022-03-12 16:22:13.760 [http-nio-80-exec-6] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-03-12 16:22:14.243 [http-nio-80-exec-6] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2022-03-12 16:22:14.247 [http-nio-80-exec-6] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
